S.no.,Name,Wickets,Matches,Innings,Overs,Runs,Average,Economy,SR,4w,5w
1,Harshal Patel PBKS,24,14,14,49,477,19.87,9.73,12.25,0,0
2,Varun Chakaravarthy ,21,15,14,50,402,19.14,8.04,14.28,0,0
3,Jasprit Burmah MI,20,13,13,51.5,336,16.8,6.48,15.55,0,1
4,T Natarajan SRH,19,14,14,51.2,465,24.47,9.05,16.21,1,0
5,Harshit Rana KKR,19,13,11,42.1,383,20.15,9.08,13.31,0,0
6,Avesh Khan RR,19,16,15,54.5,526,27.68,9.59,17.31,0,0
7,Arshdeep Singh PRKS,19,14,14,50.2,505,26.57,10.03,15.89,1,0
8,Andre Russell KKR,19,15,14,29.2,295,15.52,10.05,9.26,0,0
9,Pat Cummins SRH,18,16,16,61,566,31.44,9.27,20.33,0,0
10,Yuzvendra Chahal RR,18,15,15,58,546,30.33,9.41,19.33,0,0
11,Sunil Name KKR,17,15,14,55,368,21.64,6.69,19.41,0,0
12,Tushar Deshpande CSK,17,13,13,48,424,24.94,8.83,16.94,1,0
13,Khaleel Ahmed DC,17,14,14,50,479,28.17,9.58,17.64,0,0
14,Mukesh Kumar DC,17,10,10,35.3,368,21.64,10.36,12.52,0,0
15,Mitchell Starc KKR,17,14,13,41.5,444,26.11,10.61,14.76,1,0
16,Trent Boutt RR,16,16,15,53.2,443,27.68,8.3,20,0,0
17,Kuldeep Yadav DC,16,11,11,43,374,23.37,8.69,16.12,1,0
18,Sam Curran PBKS,16,13,13,41,416,26,10.14,15.37,0,0
19,Yash Dayal RCB,15,14,14,50.1,459,30.6,9.14,20.06,0,0
20,Mohammed Siraj RCB,15,14,14,54,496,33.06,9.18,21.6,0,0
21,Mustafizur Rahman CSK,14,9,9,34.2,318,22.71,9.26,14.71,1,0
22,Naveen-Ul-Haq LSG,14,10,10,36.3,372,26.57,10.19,15.64,0,0
23,Matheesha Pathirana CSK,13,6,6,22,169,13,7.68,10.15,1,0
24,Sandeep Sharma RR,13,11,10,38,311,23.92,8.18,17.53,0,1
25,Piyush Chawla MI,13,11,11,35,312,24,8.91,16.15,0,0
26,Gerald Coetzee MI,13,10,10,33.3,341,26.23,10.17,15.46,1,0
27,Mohit Sharma GT,13,12,11,39,425,32.69,10.89,18,0,0
28,Axar Patel DC,11,14,14,44,337,30.63,7.65,24,0,0
29,Kagiso Rabada PBKS,11,11,11,42,372,33.81,8.85,22.9,0,0
30,Vaibhav Arora KKR,11,10,10,30,276,25.09,9.2,16.36,0,0
31,Bhuvneshwar Kumar SRH,11,16,16,57,533,48.45,9.35,31.09,0,0
32,Hardik Pandya MI,11,14,12,36,387,35.18,10.75,19.63,0,0
33,Yash Thakur LSG,11,10,10,35.3,402,36.54,11.32,19.36,0,1
34,Rashid Khan GT,10,12,12,43.4,367,36.7,8.4,26.2,0,0
